Date,Close/Last,Volume,Open,High,Low
02/05/2025,$626.00,4609123,$608.85,$630.77,$607.30
02/04/2025,$621.77,6757342,$595.99,$623.40,$581.07
02/03/2025,$549.08,2536322,$538.92,$554.6958,$534.8937
01/31/2025,$548.55,1562330,$550.00,$560.36,$546.56
01/30/2025,$550.13,2045476,$544.00,$558.31,$541.585
01/29/2025,$538.83,1902110,$529.97,$543.86,$528.19
01/28/2025,$530.80,2243645,$518.00,$536.995,$510.7189
01/27/2025,$513.98,2445419,$495.11,$516.5829,$488.04
01/24/2025,$510.43,1778329,$507.82,$512.01,$501.475
01/23/2025,$501.50,892706,$490.00,$501.61,$488.002
01/22/2025,$493.56,1867070,$509.00,$510.84,$493.03
01/21/2025,$487.51,2133343,$497.36,$500.86,$476.52
01/17/2025,$485.53,2021656,$487.00,$490.78,$480.005
01/16/2025,$490.34,1376902,$490.81,$500.48,$488.23
01/15/2025,$490.69,2053740,$476.12,$492.18,$476.06
01/14/2025,$463.59,1140718,$463.39,$469.39,$460.33
01/13/2025,$458.54,1345100,$452.43,$463.50,$451.4284
01/10/2025,$459.53,2966474,$476.00,$479.43,$456.25
01/08/2025,$479.73,2154777,$462.71,$482.0599,$460.93
01/07/2025,$463.93,1261128,$472.00,$472.97,$454.7133
01/06/2025,$468.93,1752124,$469.44,$474.3134,$460.6001
01/03/2025,$466.69,1185911,$459.95,$472.80,$459.50
01/02/2025,$457.79,1092708,$450.58,$460.27,$443.21
12/31/2024,$447.38,763812,$451.76,$453.11,$446.21
12/30/2024,$451.79,1604819,$450.00,$455.17,$444.85
12/27/2024,$456.48,963814,$456.12,$459.00,$449.495
12/26/2024,$457.98,1146080,$458.00,$460.91,$455.28
12/24/2024,$461.64,522347,$456.82,$462.69,$455.90
12/23/2024,$456.29,1659292,$462.00,$462.50,$451.00
12/20/2024,$460.88,1834616,$445.27,$464.465,$444.17
12/19/2024,$454.16,1858703,$453.92,$460.78,$450.01
12/18/2024,$448.65,3386824,$479.50,$482.67,$446.78
12/17/2024,$474.37,1915549,$479.91,$483.82,$471.7001
12/16/2024,$484.90,1398768,$483.04,$490.665,$481.742
12/13/2024,$483.31,1432067,$479.585,$484.60,$474.54
12/12/2024,$480.11,1607411,$477.00,$487.8199,$475.00
12/11/2024,$476.91,1948991,$474.98,$478.94,$469.505
12/10/2024,$471.58,2783808,$480.00,$488.4291,$465.3401
12/09/2024,$482.52,2903253,$496.52,$497.00,$481.00
12/06/2024,$498.63,1841230,$495.22,$499.02,$487.69
12/05/2024,$493.51,2241048,$492.60,$495.06,$480.66
12/04/2024,$502.38,2489107,$493.50,$506.4729,$490.2277
12/03/2024,$493.32,2160288,$477.28,$494.00,$477.00
12/02/2024,$480.27,2040172,$478.765,$482.38,$473.01
11/29/2024,$476.96,981171,$475.72,$478.87,$473.33
11/27/2024,$475.24,2045599,$480.30,$484.29,$473.175
11/26/2024,$476.61,2660794,$477.55,$482.72,$474.335
11/25/2024,$481.38,27687740,$483.35,$485.46,$466.88
11/22/2024,$475.04,2296207,$471.81,$480.09,$469.49
11/21/2024,$470.70,2181792,$468.22,$473.62,$465.5035
11/20/2024,$470.01,2386422,$467.78,$473.00,$460.6487
11/19/2024,$463.83,2799585,$454.30,$465.21,$450.00
11/18/2024,$454.36,2950157,$460.64,$460.64,$452.49
11/15/2024,$458.32,3024154,$474.00,$474.00,$457.54
11/14/2024,$477.50,5040192,$471.00,$489.69,$466.36
11/13/2024,$467.37,12048770,$460.26,$473.00,$445.0001
11/12/2024,$419.39,6596682,$415.81,$420.00,$411.40
11/11/2024,$410.19,3289863,$405.11,$412.95,$404.79
11/08/2024,$400.68,2038256,$399.15,$405.93,$397.33
11/07/2024,$399.84,2694520,$399.00,$403.76,$391.42
11/06/2024,$391.16,2029672,$386.10,$392.12,$376.04
11/05/2024,$382.63,1019523,$380.27,$384.07,$378.38
11/04/2024,$377.73,1235306,$380.94,$383.745,$377.11
11/01/2024,$384.50,1545695,$382.51,$389.33,$380.63
10/31/2024,$385.10,1786507,$390.08,$393.74,$381.67
10/30/2024,$394.02,1345886,$391.68,$395.68,$389.14
10/29/2024,$391.23,1923330,$386.70,$397.195,$384.22
10/28/2024,$384.36,1301059,$388.00,$388.555,$381.10
10/25/2024,$379.16,789763,$376.70,$382.9999,$376.00
10/24/2024,$376.87,897584,$382.00,$383.59,$376.03
10/23/2024,$379.84,1289776,$387.63,$388.73,$378.90
10/22/2024,$387.63,1945597,$381.99,$389.48,$381.80
10/21/2024,$381.97,1091979,$377.43,$382.55,$376.06
10/18/2024,$378.88,1680980,$370.00,$384.21,$369.42
10/17/2024,$366.75,1242624,$372.38,$373.9899,$366.65
10/16/2024,$371.69,997206,$375.00,$376.86,$368.41
10/15/2024,$372.60,1085494,$373.61,$374.20,$364.2564
10/14/2024,$372.50,949663,$375.00,$377.18,$370.23
10/11/2024,$373.70,1260659,$379.11,$380.00,$373.39
10/10/2024,$378.00,1681037,$375.00,$382.7675,$375.00
10/09/2024,$373.98,1061222,$370.00,$376.14,$368.35
10/08/2024,$370.38,1023544,$366.58,$371.9528,$365.03
10/07/2024,$362.95,1749213,$369.36,$371.00,$362.31
10/04/2024,$371.45,1095140,$376.38,$379.48,$368.11
10/03/2024,$372.60,946987,$372.57,$376.69,$371.74
10/02/2024,$374.75,1504724,$374.46,$377.3679,$371.53
10/01/2024,$375.40,1565937,$370.49,$375.66,$367.93
09/30/2024,$368.53,1553557,$369.05,$373.38,$366.25
09/27/2024,$369.20,2904197,$376.76,$377.41,$365.91
09/26/2024,$379.16,1781106,$386.72,$389.23,$373.08
09/25/2024,$383.96,1667501,$377.80,$386.96,$375.711
09/24/2024,$380.36,2547763,$374.83,$382.60,$371.00
09/23/2024,$369.01,1777830,$367.00,$371.11,$363.53
09/20/2024,$365.17,1434068,$363.82,$366.79,$362.00
09/19/2024,$360.22,2811760,$350.00,$368.29,$348.96
09/18/2024,$343.97,1150172,$342.85,$346.82,$340.37
09/17/2024,$342.15,950769,$341.04,$346.98,$339.28
09/16/2024,$338.83,1129750,$343.02,$344.00,$337.1501
09/13/2024,$337.90,994441,$337.79,$344.5182,$337.53
09/12/2024,$337.51,944148,$338.25,$342.17,$337.13
09/11/2024,$336.66,1058835,$328.11,$337.23,$326.00
09/10/2024,$327.00,741454,$326.52,$328.15,$324.16
09/09/2024,$324.07,828229,$324.50,$329.04,$322.35
09/06/2024,$322.77,1162291,$331.26,$331.92,$319.07
09/05/2024,$328.63,1542578,$323.38,$329.60,$322.62
09/04/2024,$329.25,825875,$327.80,$336.38,$327.07
09/03/2024,$328.60,1632775,$340.05,$342.40,$326.095
08/30/2024,$342.88,1077146,$341.17,$343.505,$337.47
08/29/2024,$340.73,1453065,$338.80,$344.50,$338.80
08/28/2024,$337.56,976896,$338.31,$339.54,$334.09
08/27/2024,$339.47,1412934,$333.51,$343.26,$333.00
08/26/2024,$336.07,1184596,$342.50,$343.81,$333.61
08/23/2024,$342.49,1490342,$342.41,$347.9796,$340.1759
08/22/2024,$342.20,1706719,$345.01,$350.32,$340.52
08/21/2024,$343.69,1756369,$345.16,$347.86,$343.305
08/20/2024,$346.28,1557049,$346.55,$348.8499,$342.745
08/19/2024,$344.69,2043212,$335.00,$346.17,$334.565
08/16/2024,$337.38,1513287,$335.21,$338.91,$332.82
08/15/2024,$335.59,2115595,$337.00,$341.6371,$333.91
08/14/2024,$334.35,1831135,$335.99,$338.51,$332.37
08/13/2024,$334.74,2081347,$339.00,$340.31,$333.80
08/12/2024,$340.36,918955,$340.00,$343.43,$336.51
08/09/2024,$339.90,1213055,$337.27,$343.275,$333.67
08/08/2024,$338.32,1445099,$328.20,$339.49,$324.36
08/07/2024,$323.34,1320726,$329.00,$335.3633,$323.16
08/06/2024,$327.30,1540279,$323.99,$330.72,$320.38
08/05/2024,$324.03,3183833,$302.01,$325.59,$300.57
08/02/2024,$330.85,2977814,$326.41,$332.40,$318.75
08/01/2024,$336.50,2642530,$345.09,$359.375,$335.01
07/31/2024,$343.94,2118003,$334.05,$344.34,$330.14
07/30/2024,$330.35,2508339,$323.35,$334.65,$321.83
07/29/2024,$323.74,1736792,$323.74,$328.07,$319.73
07/26/2024,$321.88,1986644,$330.42,$331.37,$320.20
07/25/2024,$328.95,2716343,$336.82,$341.00,$324.08
07/24/2024,$336.52,5691169,$333.62,$346.23,$328.76
07/23/2024,$330.79,6669226,$339.50,$343.40,$326.50
07/22/2024,$295.45,3122106,$298.00,$300.72,$290.13
07/19/2024,$295.09,1782350,$292.23,$298.38,$290.50
07/18/2024,$290.16,1817298,$296.66,$298.32,$288.07
07/17/2024,$294.74,1982063,$294.79,$299.38,$290.87
07/16/2024,$298.50,1424739,$303.78,$304.87,$294.85
07/15/2024,$302.15,1145499,$302.27,$308.12,$299.40
07/12/2024,$302.27,1244537,$302.13,$307.44,$300.39
07/11/2024,$300.98,2288379,$312.73,$314.02,$297.11
07/10/2024,$304.99,2220271,$308.00,$312.31,$304.85
07/09/2024,$311.55,1448723,$315.26,$315.43,$310.64
07/08/2024,$313.71,1733408,$321.94,$322.00,$309.01
07/05/2024,$316.85,939759,$315.00,$317.09,$313.53
07/03/2024,$314.80,661797,$315.30,$316.08,$311.01
07/02/2024,$315.55,913308,$314.02,$316.645,$309.43
07/01/2024,$313.84,1080524,$313.64,$314.42,$306.81
06/28/2024,$313.79,4934951,$315.39,$317.99,$306.21
06/27/2024,$315.38,1492581,$319.29,$324.56,$314.24
06/26/2024,$318.96,1245607,$320.00,$321.9999,$316.19
06/25/2024,$321.28,1040853,$317.91,$322.73,$312.615
06/24/2024,$314.99,1485067,$317.74,$319.50,$310.67
